"mState.Providence","Country.Region","population"
"Dooly County, GA","United States",14035
"Dougherty County, GA","United States",91332
"Douglas County, GA","United States",140733
"Early County, GA","United States",10575
"Echols County, GA","United States",4040
"Effingham County, GA","United States",57106
"Elbert County, GA","United States",19364
"Emanuel County, GA","United States",22708
"Evans County, GA","United States",10787
"Fannin County, GA","United States",24303
"Fayette County, GA","United States",110714
"Floyd County, GA","United States",96504
"Forsyth County, GA","United States",212438
"Franklin County, GA","United States",22311
"Fulton County, GA","United States",1010562
"Gilmer County, GA","United States",29400
"Glascock County, GA","United States",3065
"Glynn County, GA","United States",83579
"Gordon County, GA","United States",56574
"Grady County, GA","United States",25205
"Greene County, GA","United States",16710
"Gwinnett County, GA","United States",895823
"Habersham County, GA","United States",43996
"Hall County, GA","United States",193535
"Hancock County, GA","United States",8551
"Haralson County, GA","United States",28854
"Harris County, GA","United States",33381
"Hart County, GA","United States",25534
"Heard County, GA","United States",11539
"Henry County, GA","United States",217739
"Houston County, GA","United States",150033
"Irwin County, GA","United States",9245
"Jackson County, GA","United States",63360
"Jasper County, GA","United States",13635
"Jeff Davis County, GA","United States",14920
"Jefferson County, GA","United States",16106
"Jenkins County, GA","United States",8957
"Johnson County, GA","United States",9656
"Jones County, GA","United States",28494
"Lamar County, GA","United States",18201
"Lanier County, GA","United States",10312
"Laurens County, GA","United States",47731
"Lee County, GA","United States",29202
"Liberty County, GA","United States",62467
"Lincoln County, GA","United States",7673
"Long County, GA","United States",17731
"Lowndes County, GA","United States",112865
"Lumpkin County, GA","United States",31408
"McDuffie County, GA","United States",21540
"McIntosh County, GA","United States",13969
"Macon County, GA","United States",13632
"Madison County, GA","United States",28441
"Marion County, GA","United States",8761
"Meriwether County, GA","United States",21190
"Miller County, GA","United States",5854
"Mitchell County, GA","United States",22574
"Monroe County, GA","United States",27103
"Montgomery County, GA","United States",8951
"Morgan County, GA","United States",18046
"Murray County, GA","United States",39565
"Muscogee County, GA","United States",200579
"Newton County, GA","United States",105473
"Oconee County, GA","United States",35965
"Oglethorpe County, GA","United States",14871
"Paulding County, GA","United States",152238
"Peach County, GA","United States",26720
"Pickens County, GA","United States",30309
"Pierce County, GA","United States",19103
"Pike County, GA","United States",17941
"Polk County, GA","United States",41524
"Pulaski County, GA","United States",11396
"Putnam County, GA","United States",21353
"Quitman County, GA","United States",2302
"Rabun County, GA","United States",16281
"Randolph County, GA","United States",7193
"Richmond County, GA","United States",201793
"Rockdale County, GA","United States",88856
"Schley County, GA","United States",5168
"Screven County, GA","United States",14162
"Seminole County, GA","United States",8647
"Spalding County, GA","United States",64051
"Stephens County, GA","United States",25586
"Stewart County, GA","United States",5851
"Sumter County, GA","United States",30779
"Talbot County, GA","United States",6337
"Taliaferro County, GA","United States",1639
"Tattnall County, GA","United States",25229
"Taylor County, GA","United States",8330
"Telfair County, GA","United States",16400
"Terrell County, GA","United States",9113
"Thomas County, GA","United States",45063
"Tift County, GA","United States",40764
"Toombs County, GA","United States",27241
"Towns County, GA","United States",11182
"Treutlen County, GA","United States",6785
"Troup County, GA","United States",69763
"Turner County, GA","United States",8214
"Twiggs County, GA","United States",8390
"Union County, GA","United States",22267
"Upson County, GA","United States",26368
"Walker County, GA","United States",68066
"Walton County, GA","United States",88399
"Ware County, GA","United States",35370
"Warren County, GA","United States",5460
"Washington County, GA","United States",20816
"Wayne County, GA","United States",29534
"Webster County, GA","United States",2648
"Wheeler County, GA","United States",7903
"White County, GA","United States",28319
"Whitfield County, GA","United States",104216
"Wilcox County, GA","United States",8857
"Wilkes County, GA","United States",9867
"Wilkinson County, GA","United States",9155
"Worth County, GA","United States",20699
"Hawaii County, HI","United States",196428
