"region","b1","start_date","loss","initial.infected"
"Pulaski County, AR",0.67,"2020-03-06",0.596871951109224,1
"Putnam County, NY",0,"2020-01-27",1.11769244768553,1
"Queen Anne's County, MD",0,"2020-03-10",0.378683192520061,1
"Queens County, NY",1.06,"2020-02-21",15.4523380671785,1
"Racine County, WI",0.33,"2020-03-14",0.357320705530379,1
"Ramsey County, MN",0.32,"2020-02-29",0.419067261157995,1
"Randolph County, NC",0.63,"2020-03-14",0.351012749502415,1
"Rensselaer County, NY",0,"2020-03-10",0.268586141246379,1
"Richland County, SC",0.69,"2020-03-06",0.843994314318047,1
"Richmond County, GA",0.79,"2020-03-13",0.780464872834651,1
"Richmond County, NY",1.15,"2020-02-28",3.59278262380647,1
"Riverside County, CA",0.51,"2020-02-21",0.836713559954279,1
"Robeson County, NC",0,"2020-03-14",0.293787888660721,1
"Rock County, WI",0.81,"2020-03-13",0.318435379463688,1
"Rock Island County, IL",0.02,"2020-03-13",0.224973771587949,1
"Rockingham County, NH",0.79,"2020-03-13",0.251767130704127,1
"Rockwall County, TX",0,"2020-03-20",0.299351701909257,1
"Rowan County, NC",0.86,"2020-03-13",0.253574093874423,1
"Rutherford County, TN",0.9,"2020-03-13",0.649449718153663,1
"Sacramento County, CA",0.44,"2020-02-21",0.339156107263595,1
"Saginaw County, MI",0.02,"2020-03-15",0.381591477501547,1
"Salem County, NJ",1.1,"2020-03-13",0.327653139454776,1
"Salt Lake County, UT",0.32,"2020-02-10",5.71414771482481,1
"San Bernardino County, CA",1.13,"2020-03-06",0.562281159264511,1
"San Diego County, CA",0.72,"2020-02-28",1.46436692079884,1
"San Francisco County, CA",1.25,"2020-03-06",0.64797420202566,1
"San Joaquin County, CA",0.68,"2020-02-29",0.542718925452368,1
"San Juan County, NM",0,"2020-03-13",0.248565213660066,1
"San Mateo County, CA",0.7,"2020-02-28",0.818295147549433,1
"Sangamon County, IL",0.23,"2020-02-29",0.272016061954883,1
"Santa Barbara County, CA",0,"2020-03-10",0.231756353495647,1
"Santa Clara County, CA",0.38,"2020-02-04",1.45139506857468,1
"Sarasota County, FL",0.75,"2020-03-06",0.79563095290795,1
"Schenectady County, NY",0.76,"2020-03-06",0.868475730933739,1
"Schuylkill County, PA",0,"2020-03-10",0.284192072311752,1
"Sedgwick County, KS",0.57,"2020-03-13",0.25630211174007,1
"Seminole County, FL",0.48,"2020-03-14",0.325176987412382,1
"Shelby County, AL",0.58,"2020-03-07",0.765304182687901,1
"Shelby County, IN",0,"2020-03-16",0.216718762393956,1
"Shelby County, TN",0.88,"2020-03-07",1.57557292996964,1
"Shiawassee County, MI",0,"2020-03-16",0.22182960689644,1
"Snohomish County, WA",0.53,"2020-02-15",1.44199506319388,1
"Solano County, CA",0,"2020-03-10",0.231756437495568,1
"Somerset County, NJ",0.77,"2020-02-28",1.9948561787465,1
"Spalding County, GA",0.73,"2020-03-13",0.610636974494813,1
"Spartanburg County, SC",0.8,"2020-03-13",0.734479427387338,1
"Spokane County, WA",1.02,"2020-03-06",0.970316816697521,1
"Spotsylvania County, VA",0.53,"2020-03-14",0.37375090605709,1
"St. Charles County, MO",0.57,"2020-03-06",0.679950242444611,1
"St. Clair County, IL",1.33,"2020-03-12",0.319895703967696,1
"St. Clair County, MI",0.73,"2020-03-13",0.561029099167004,1
"St. Joseph County, IN",0.56,"2020-03-13",0.231350519133182,1
"St. Louis County, MO",0.93,"2020-03-06",3.36240138893376,1
"St. Lucie County, FL",0.63,"2020-03-07",0.53733980892322,1
"St. Mary's County, MD",0,"2020-03-10",0.378626762820262,1
"Stanislaus County, CA",0,"2020-03-10",0.231755619398539,1
"Stark County, OH",0.82,"2020-03-06",0.335111855825426,1
"Stearns County, MN",0,"2020-03-13",0.301172415811741,1
"Steuben County, NY",0,"2020-03-10",0.268587128814743,1
"Suffolk County, MA",0.88,"2020-02-29",3.11238087757526,1
"Suffolk County, NY",1.31,"2020-02-28",11.0535239504054,1
"Summit County, OH",1.09,"2020-03-06",0.83324498400158,1
"Sumner County, TN",0.85,"2020-03-06",1.27006664415778,1
"Sumter County, FL",1.29,"2020-03-13",0.89027492782199,1
"Sumter County, SC",0.43,"2020-03-05",0.45443771940404,1
"Susquehanna County, PA",0,"2020-03-10",0.284233151161,1
"Sussex County, DE",0.63,"2020-03-07",0.445636345868113,1
"Sussex County, NJ",0.89,"2020-03-06",1.29585332871535,1
"Tallapoosa County, AL",0.73,"2020-03-13",0.468014240712497,1
"Tama County, IA",0.48,"2020-03-14",0.482626200178125,1
"Tarrant County, TX",0.88,"2020-03-07",1.30114436191256,1
"Terrell County, GA",0.85,"2020-03-06",1.26275655155315,1
"Thomas County, GA",0.83,"2020-03-13",1.61901024108364,1
"Tift County, GA",0.28,"2020-03-15",0.42544286696889,1
"Tioga County, NY",0,"2020-03-10",0.272196616001498,1
"Tolland County, CT",1.31,"2020-03-06",0.625783969578929,1
"Travis County, TX",0.61,"2020-03-06",0.746651861099095,1
"Troup County, GA",0.63,"2020-03-13",0.351793373672031,1
"Trumbull County, OH",0.92,"2020-03-06",0.733494221605314,1
"Tulare County, CA",0.33,"2020-03-08",0.330733627442077,1
